4138
250
4
ECG	Pao	Dao	Qao
159.10	62.51	19.45	2.24
158.10	62.52	19.45	2.25
160.80	62.27	19.45	2.07
139.20	61.94	19.44	1.90
110.10	61.65	19.44	1.73
68.38	62.02	19.44	1.58
33.38	61.91	19.43	1.43
7.60	61.60	19.42	1.33
7.01	61.43	19.42	1.20
11.78	61.12	19.42	1.08
19.99	61.34	19.41	0.96
29.02	61.32	19.41	0.80
28.67	61.07	19.41	0.65
34.34	61.25	19.40	0.49
38.89	60.74	19.40	0.35
41.45	60.87	19.40	0.25
48.10	60.83	19.39	0.14
48.26	60.43	19.39	-0.01
50.79	60.24	19.38	-0.11
55.15	60.37	19.38	-0.21
56.56	60.28	19.37	-0.31
55.11	60.10	19.36	-0.37
22.96	59.74	19.35	-0.41
-79.82	59.52	19.34	-0.50
-204.00	59.52	19.34	-0.55
-305.70	59.58	19.33	-0.57
-274.70	59.32	19.32	-0.59
-127.70	58.99	19.32	-0.63
17.44	58.83	19.31	-0.66
159.40	58.99	19.30	-0.66
246.80	58.93	19.29	-0.66
229.50	58.79	19.29	-0.68
154.00	58.46	19.28	-0.73
110.40	58.31	19.28	-0.80
111.10	58.10	19.27	-0.84
117.60	58.36	19.26	-0.85
113.90	58.22	19.26	-0.85
95.02	57.86	19.25	-0.86
86.72	57.38	19.24	-0.86
88.21	57.24	19.23	-0.86
88.32	57.34	19.23	-0.86
85.24	57.51	19.22	-0.85
78.38	57.19	19.22	-0.84
71.67	57.16	19.22	-0.88
72.84	57.27	19.22	-0.76
67.66	57.62	19.23	-0.61
65.47	57.29	19.22	-0.45
63.35	57.07	19.22	-0.35
65.33	56.91	19.21	-0.29
65.67	56.80	19.20	-0.22
66.98	57.34	19.20	-0.12
68.17	57.92	19.20	0.04
67.90	58.27	19.21	0.34
70.07	58.75	19.23	0.84
70.79	59.84	19.26	1.50
70.91	61.22	19.31	2.24
69.79	62.37	19.36	2.97
71.48	63.47	19.41	3.75
70.99	64.26	19.47	4.53
72.85	64.92	19.52	5.26
73.37	66.03	19.56	5.89
71.63	66.49	19.61	6.48
72.38	67.22	19.64	7.03
71.42	67.38	19.67	7.43
71.82	67.90	19.70	7.70
68.38	68.78	19.72	7.96
68.42	69.31	19.74	8.15
67.21	69.82	19.77	8.22
66.27	70.12	19.79	8.22
67.52	70.27	19.81	8.21
67.15	70.78	19.83	8.21
64.88	70.83	19.84	8.18
65.39	70.92	19.85	8.14
63.68	70.78	19.86	8.15
60.45	70.99	19.86	8.19
60.05	71.39	19.86	8.20
59.25	71.34	19.86	8.14
59.23	71.26	19.87	8.07
59.84	71.21	19.87	8.02
57.56	71.27	19.87	8.02
55.38	71.75	19.88	8.09
51.15	71.64	19.88	8.19
50.49	71.81	19.89	8.29
49.48	71.71	19.89	8.46
49.09	71.83	19.90	8.57
45.96	72.18	19.90	8.58
44.45	72.00	19.90	8.53
43.32	71.79	19.90	8.49
42.61	71.55	19.90	8.52
40.71	71.93	19.90	8.52
40.95	71.89	19.90	8.45
41.18	71.68	19.90	8.48
44.49	71.46	19.90	8.51
48.27	71.15	19.89	8.45
58.10	71.16	19.89	8.29
63.86	71.16	19.89	8.16
66.48	70.76	19.88	8.10
69.32	70.30	19.87	8.04
64.36	69.85	19.87	7.95
59.74	69.77	19.86	7.85
54.67	69.76	19.84	7.70
49.23	69.08	19.83	7.48
46.90	68.51	19.81	7.23
44.63	68.01	19.79	6.98
45.38	67.49	19.78	6.68
43.34	67.07	19.75	6.33
44.88	65.85	19.72	5.86
48.49	64.98	19.68	5.29
47.52	63.79	19.63	4.66
48.16	63.07	19.58	3.97
48.24	62.60	19.54	3.32
45.83	62.23	19.51	2.83
46.03	62.41	19.49	2.61
48.69	62.90	19.50	2.69
47.85	63.56	19.52	2.96
50.04	63.64	19.53	3.27
50.02	63.23	19.53	3.49
54.17	62.93	19.52	3.55
52.36	62.72	19.51	3.56
51.80	62.84	19.50	3.54
53.30	63.14	19.49	3.61
50.33	62.74	19.49	3.68
53.37	62.72	19.48	3.74
57.07	62.68	19.48	3.72
58.47	63.11	19.48	3.68
60.87	63.45	19.49	3.56
57.19	63.32	19.50	3.35
53.22	63.16	19.50	3.11
51.81	63.03	19.51	2.91
59.28	63.25	19.50	2.82
62.93	63.33	19.50	2.82
83.81	63.14	19.49	2.85
107.40	62.78	19.48	2.85
125.20	62.43	19.47	2.84
140.80	62.68	19.47	2.77
157.90	62.47	19.46	2.65
167.00	62.23	19.45	2.54
166.40	62.40	19.45	2.41
136.80	61.75	19.44	2.21
104.30	61.87	19.44	1.95
65.84	61.98	19.43	1.71
30.30	61.63	19.43	1.49
15.27	61.31	19.43	1.27
15.81	61.40	19.42	1.07
24.57	61.42	19.42	0.94
35.14	61.28	19.41	0.80
37.63	61.33	19.41	0.70
41.59	60.91	19.41	0.59
44.51	61.00	19.41	0.50
48.65	61.05	19.40	0.39
51.87	60.84	19.40	0.27
55.70	60.70	19.39	0.15
60.04	60.57	19.39	0.06
60.81	60.35	19.38	-0.04
61.20	60.50	19.37	-0.15
62.66	60.21	19.37	-0.26
50.35	59.78	19.36	-0.35
3.16	59.89	19.35	-0.41
-116.10	59.49	19.34	-0.46
-238.70	59.52	19.34	-0.52
-307.20	59.55	19.33	-0.55
-230.10	59.16	19.32	-0.60
-72.75	58.84	19.32	-0.66
70.01	58.81	19.31	-0.72
202.00	59.14	19.30	-0.78
258.30	58.95	19.29	-0.82
214.90	58.53	19.28	-0.83
142.50	58.22	19.28	-0.82
113.60	58.18	19.28	-0.79
119.30	58.69	19.27	-0.74
126.50	58.29	19.26	-0.71
114.30	57.89	19.26	-0.69
98.85	57.50	19.25	-0.71
92.69	57.20	19.24	-0.73
94.81	57.42	19.23	-0.76
96.28	57.14	19.22	-0.80
91.02	56.90	19.22	-0.80
87.03	57.01	19.22	-0.78
86.03	57.53	19.22	-0.72
86.49	57.54	19.22	-0.62
83.48	57.46	19.23	-0.53
80.10	57.05	19.22	-0.46
79.39	56.86	19.21	-0.43
74.47	56.77	19.21	-0.37
70.80	57.44	19.20	-0.28
73.43	57.29	19.20	-0.19
72.19	57.52	19.20	-0.04
69.26	57.94	19.22	0.23
72.11	58.83	19.24	0.64
71.15	60.19	19.27	1.20
72.69	61.15	19.31	1.92
73.14	62.47	19.37	2.78
73.83	63.16	19.42	3.78
73.73	64.25	19.47	4.79
73.52	65.41	19.53	5.63
71.31	66.05	19.57	6.27
71.87	66.37	19.61	6.75
69.84	66.88	19.65	7.09
71.04	67.56	19.68	7.35
69.29	68.38	19.70	7.63
67.36	68.59	19.72	7.84
71.97	69.42	19.75	7.99
69.81	69.37	19.77	8.09
70.41	70.06	19.79	8.13
70.45	70.44	19.81	8.12
69.18	70.75	19.83	8.10
69.01	70.62	19.84	8.08
68.89	70.57	19.85	8.05
66.99	70.85	19.85	8.04
64.04	71.18	19.86	8.08
63.14	71.08	19.86	8.09
