pf.txt	Playa fina				
Muestreo=	4				
Prof. Via1	0.13				
Prof. Via2	0.293				
Prof. Via3	0.455				
Prof. Via4	0.78				
PRES	DIAM	VIA1	VIA2	VIA3	VIA4
103880.7	1.96	-1.042	2.6768	2.6768	7.043
103945.6	1.959837	-1.042	1.5782	1.5782	6.3106
103912.9	1.959397	-0.676	0.8458	0.8458	5.5782
103636.2	1.958853	0.4228	-0.62	-0.62	5.5782
103367.7	1.95807	1.1552	-0.62	-0.62	4.8458
103168.4	1.957317	2.254	-0.62	-0.62	4.4794
102873.4	1.956148	2.254	0.1132	0.1132	4.1132
102595.8	1.955146	2.6202	0.8458	0.8458	4.1132
102326.8	1.95395	2.9864	1.212	1.212	3.3808
102062.1	1.952727	3.3526	1.9444	1.9444	3.3808
101864.7	1.951283	2.9864	2.3106	2.3106	2.2822
101831.1	1.949934	1.8876	2.6768	2.6768	1.5498
102009.5	1.948574	1.1552	2.3106	2.3106	0.4512
102814.7	1.9473	0.789	1.9444	1.9444	0.085
103998.4	1.946252	1.1552	1.212	1.212	-0.648
105892	1.944231	1.5214	0.8458	0.8458	-1.014
108010.3	1.94398	1.8876	0.4794	0.4794	-1.014
110436.4	1.94488	2.254	0.4794	0.4794	-1.014
112951.1	1.946523	2.9864	1.212	1.212	0.085
115575.4	1.947512	3.3526	2.3106	2.3106	1.916
118124.2	1.950459	3.3526	4.5078	4.5078	4.1132
120635.2	1.954336	4.085	6.705	6.705	7.4092
122932.2	1.958708	5.1836	8.5362	8.5362	10.3388
125122	1.962642	8.8458	11.0996	11.0996	12.17
127258.4	1.967652	12.1416	14.3956	14.3956	14.3672
129042.5	1.973043	15.4376	17.3252	17.3252	16.5644
130715.6	1.97858	17.2686	19.1562	19.1562	19.4942
132268.2	1.983466	18.3672	21.3536	21.3536	23.5224
133695.4	1.989088	19.832	24.2832	24.2832	27.917
135189.9	1.994784	20.9306	28.3116	28.3116	31.5792
136458	2.00045	22.7618	31.9736	31.9736	34.875
137547.6	2.005941	26.4238	35.6358	35.6358	38.9034
138613.1	2.011274	29.3536	37.833	37.833	42.1992
139601.5	2.016418	30.4522	40.7626	40.7626	45.4952
140421.2	2.021683	30.8184	43.6924	43.6924	48.4248
141091.3	2.028431	30.8184	45.1572	45.1572	51.3544
141816.9	2.033083	31.5508	46.622	46.622	53.1856
142244.8	2.037074	30.4522	46.9882	46.9882	53.918
142719.1	2.040862	28.2548	46.9882	46.9882	53.918
143021.3	2.044467	26.0576	46.622	46.622	52.8194
143172.3	2.04776	26.0576	46.2558	46.2558	50.622
143117.8	2.050872	26.79	44.4248	44.4248	49.5234
142895.2	2.053671	26.4238	43.6924	43.6924	46.96
142393.5	2.054232	26.4238	42.5938	42.5938	44.7626
141686.8	2.052826	25.3252	41.4952	41.4952	42.9316
140682.8	2.05499	23.4942	40.7626	40.7626	42.5654
139399.7	2.057231	23.128	40.7626	40.7626	42.5654
137716.6	2.057436	23.128	40.7626	40.7626	44.0302
135703.7	2.056395	23.8604	40.0302	40.0302	45.129
133590.6	2.057369	24.959	39.2978	39.2978	45.129
131167.2	2.058001	26.0576	38.1992	38.1992	44.7626
128784	2.057296	26.4238	37.1006	37.1006	42.5654
126811.3	2.055633	24.5928	34.5372	34.5372	38.1708
125824.9	2.054185	22.7618	31.9736	31.9736	33.4102
126177.9	2.052441	19.832	28.6778	28.6778	28.2832
126679.8	2.050675	16.17	24.2832	24.2832	22.79
126670.4	2.049674	12.1416	20.621	20.621	18.0292
126340.3	2.049067	8.4794	17.3252	17.3252	13.2686
125849.8	2.048619	5.916	14.3956	14.3956	9.2402
125279.1	2.047725	4.4512	11.832	11.832	5.9444
124798.5	2.046676	2.9864	10.001	10.001	3.3808
124167.6	2.045389	1.8876	8.17	8.17	1.1836
123722.1	2.044231	1.5214	6.705	6.705	-0.648
123499.3	2.042944	0.789	4.874	4.874	-2.112
123127.5	2.041834	0.789	3.043	3.043	-3.212
122876.6	2.040688	1.1552	2.3106	2.3106	-5.042
122425.6	2.039657	0.0566	0.8458	0.8458	-5.774
122004.9	2.038484	-0.31	-0.986	-0.986	-7.606
121794.5	2.03738	-0.676	-2.816	-2.816	-9.436
121429	2.036238	-1.042	-5.014	-5.014	-10.902
121246.2	2.035065	-1.408	-5.38	-5.38	-12.366
120829.4	2.034106	-1.774	-6.112	-6.112	-14.198
120425.7	2.0305	-2.506	-6.844	-6.844	-15.296
120223.9	2.028284	-3.24	-7.944	-7.944	-16.76
119992.8	2.02766	-5.07	-9.774	-9.774	-17.494
119747.1	2.027099	-6.536	-11.24	-11.24	-17.86
119559.1	2.025174	-8.366	-12.338	-12.338	-19.324
119400.1	2.024029	-9.832	-13.436	-13.436	-20.79
119255.5	2.023439	-10.93	-15.268	-15.268	-22.62
118987.9	2.023006	-12.028	-16.366	-16.366	-24.818
118658.8	2.022519	-12.394	-16.732	-16.732	-27.014
118429.2	2.022129	-12.76	-17.098	-17.098	-28.48
118249.3	2.021484	-13.494	-17.464	-17.464	-29.578
118029.2	2.020953	-13.86	-17.832	-17.832	-29.578
117789	2.02023	-13.494	-17.832	-17.832	-29.212
117603.8	2.019677	-13.126	-18.198	-18.198	-28.846
117381	2.019131	-12.76	-18.198	-18.198	-28.48
117204.5	2.018541	-12.028	-18.198	-18.198	-27.748
116986.1	2.017961	-10.93	-17.464	-17.464	-25.916
116811.8	2.017439	-9.464	-16.366	-16.366	-23.718
116724.7	2.016774	-9.098	-14.902	-14.902	-20.422
116485.8	2.016077	-9.464	-13.802	-13.802	-18.226
116171.1	2.01545	-10.198	-13.436	-13.436	-16.394
115753.4	2.014885	-10.198	-13.436	-13.436	-15.296
115479.5	2.014181	-9.464	-13.07	-13.07	-13.098
115147.3	2.013303	-7.634	-12.704	-12.704	-11.268
114851	2.012218	-6.17	-11.606	-11.606	-8.704
114442.5	2.008793	-5.07	-10.506	-10.506	-6.874
114043	2.007424	-3.972	-8.676	-8.676	-5.042
113582.9	2.006634	-2.874	-6.478	-6.478	-3.578
113222.6	2.005628	-2.506	-5.38	-5.38	-2.844
112782.2	2.003058	-2.506	-4.282	-4.282	-2.112
112301.6	2.001871	-2.506	-3.182	-3.182	-2.112
111866	2.000999	-1.774	-2.084	-2.084	-2.844
111387.9	2.000018	-0.676	-2.084	-2.084	-2.844
110888.5	1.998204	-0.31	-2.084	-2.084	-3.212
110378.4	1.997062	0.4228	-1.718	-1.718	-3.578
